Agent,wins,losses,draws,win_rate,avg_moves,avg_time,total_games,draw_rate
Default Agent,20.0,10.0,0.0,0.6666666666666666,0.0,0.0,30.0,0.0
Minimax without Alpha-Beta,15.0,15.0,0.0,0.5,0.0,0.0,30.0,0.0
Minimax with Alpha-Beta,15.0,15.0,0.0,0.5,0.0,0.0,30.0,0.0
Q-Learning Agent,10.0,20.0,0.0,0.3333333333333333,0.0,0.0,30.0,0.0
